name,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbohydrates_g,dietary_fiber_g,sugars_g,added_sugars_g,protein_g
Tampa Bay Reef Donkey (16 oz),240,0,0,0,0,15,14,1,0,0,2
Tecate Light (12 oz),110,0,0,0,0,0,7,0,0,0,1
Tecate Light (16 oz),140,0,0,0,0,0,9,0,0,0,1
Tecate Original (12 oz),140,0,0,0,0,0,14,0,0,0,1
Tecate Original (16 oz),190,0,0,0,0,0,19,0,0,0,1
Victoria (12 oz),140,0,0,0,0,0,13,0,0,0,0
Victoria (16 oz),180,0,0,0,0,0,18,0,0,0,0
Voodoo Ranger Juicy Haze IPA (12 oz),230,0,0,0,0,0,16,0,0,0,0
Voodoo Ranger Juicy Haze IPA (16 oz),310,0,0,0,0,0,21,0,0,0,0
White Claw Hard Seltzer (12 oz),100,0,0,0,0,0,2,0,2,2,0
Yuengling - Black and Tan (12 oz),150,0,0,0,0,15,15,0,0,0,0
Yuengling - Black and Tan (16 oz),200,0,0,0,0,20,20,0,0,0,0
Yuengling - Golden Pilsner (12 oz),140,0,0,0,0,0,9,0,0,0,0
Yuengling - Golden Pilsner (16 oz),180,0,0,0,0,0,12,0,0,0,0
Yuengling - Lager (12 oz),140,0,0,0,0,15,12,0,0,0,0
Yuengling - Lager (16 oz),190,0,0,0,0,20,16,0,0,0,0
Yuengling - Light Lager (12 oz),100,0,0,0,0,10,9,0,0,0,0
Yuengling - Light Lager (16 oz),130,0,0,0,0,15,12,0,0,0,0
Yuengling - Porter (12 oz),160,0,0,0,0,15,15,0,0,0,0
Yuengling - Porter (16 oz),220,0,0,0,0,25,20,0,0,0,0
Yuengling - Premium (12 oz),140,0,0,0,0,20,12,0,0,0,0
Yuengling - Premium (16 oz),190,0,0,0,0,25,16,0,0,0,0
Yuengling - Premium Light (12 oz),100,0,0,0,0,10,7,0,0,0,0
Yuengling - Premium Light (16 oz),130,0,0,0,0,15,9,0,0,0,0
Mtn Dew® Baja Blast Freeze™ (16 oz),150,0,0,0,0,45,41,0,41,41,0
Mtn Dew® Baja Blast Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,51,0
Mtn Dew® Baja Blast Freeze™ (32 oz),310,0,0,0,0,85,82,0,82,82,0
Red Sangria - LV,330,0,0,0,0,35,28,0,24,24,0
Rum (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0,0
Rum (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0,0
Tequila (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0,0
Tequila (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0,0
Vodka (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0,0
Vodka (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0,0
Whiskey (80 proof) - Double - LV,250,0,0,0,0,0,0,0,0,0,0
Whiskey (80 proof) - Single - LV,120,0,0,0,0,0,0,0,0,0,0
Brisk® Dragon Paradise Sparkling Iced Tea (16 fl oz),60,0,0,0,0,80,17,0,16,16,0
Brisk® Mango Iced Tea (16 fl oz),90,0,0,0,0,50,24,0,24,24,0
Diet Dr Pepper® (16 fl oz),0,0,0,0,0,95,0,0,0,0,0
Diet Pepsi® (16 fl oz),0,0,0,0,0,75,0,0,0,0,0
Dr Pepper® (16 fl oz),190,0,0,0,0,60,52,0,51,51,0
G2 - Fruit Punch (16 fl oz),45,0,0,0,0,220,10,0,9,9,0
Lipton Unsweetened Iced Tea (16 fl oz),0,0,0,0,0,140,0,0,0,0,0
Midnight Mtn Dew® Baja Blast™ (16 fl oz),220,0,0,0,0,65,59,0,59,59,0
Mtn Dew® (16 fl oz),220,0,0,0,0,70,59,0,58,58,0
Mtn Dew® Baja Blast™ (16 fl oz),220,0,0,0,0,65,59,0,59,59,0
Mtn Dew® Baja Blast Zero Sugar (16 fl oz),5,0,0,0,0,70,0,0,0,0,0
Mtn Dew® Zero Sugar (16 fl oz),0,0,0,0,0,65,0,0,0,0,0
Mug® Root Beer (16 fl oz),190,0,0,0,0,75,51,0,51,51,0
Pepsi® (16 fl oz),200,0,0,0,0,40,55,0,55,55,0
Pepsi® Wild Cherry (16 fl oz),210,0,0,0,0,45,56,0,56,56,0
Pepsi® Zero Sugar (16 fl oz),0,0,0,0,0,85,0,0,0,0,0
Starry® (16 fl oz),200,0,0,0,0,45,52,0,52,52,0
Tropicana Original Lemonade (16 oz),70,0,0,0,0,210,16,0,16,16,0
Brisk® Dragon Paradise Sparkling Iced Tea (20 fl oz),80,0,0,0,0,100,20,0,20,20,0
Brisk® Mango Iced Tea (20 fl oz),110,0,0,0,0,65,30,0,30,30,0
Diet Dr Pepper® (20 fl oz),0,0,0,0,0,120,0,0,0,0,0
Diet Pepsi® (20 fl oz),0,0,0,0,0,95,0,0,0,0,0
Dr Pepper® (20 fl oz),240,0,0,0,0,75,65,0,64,64,0
G2 - Fruit Punch (20 fl oz),50,0,0,0,0,270,13,0,12,12,0
Lipton Unsweetened Iced Tea (20 fl oz),0,0,0,0,0,180,0,0,0,0,0
Midnight Mtn Dew® Baja Blast™ (20 fl oz),280,0,0,0,0,85,74,0,74,74,0
Mtn Dew® (20 fl oz),280,0,0,0,0,85,73,0,73,73,0
Mtn Dew® Baja Blast™ (20 fl oz),280,0,0,0,0,80,74,0,74,74,0
Mtn Dew® Baja Blast Zero Sugar (20 fl oz),10,0,0,0,0,85,0,0,0,0,0
Mtn Dew® Zero Sugar (20 fl oz),0,0,0,0,0,80,0,0,0,0,0
Mug® Root Beer (20 fl oz),240,0,0,0,0,95,64,0,63,63,0
Pepsi® (20 fl oz),250,0,0,0,0,50,69,0,69,69,0
Pepsi® Wild Cherry (20 fl oz),260,0,0,0,0,55,70,0,70,70,0
Pepsi® Zero Sugar (20 fl oz),0,0,0,0,0,105,0,0,0,0,0
Starry® (20 fl oz),240,0,0,0,0,55,65,0,65,65,0
Tropicana Original Lemonade (20 oz),80,0,0,0,0,270,21,0,20,20,0
Brisk® Dragon Paradise Sparkling Iced Tea (30 fl oz),120,0,0,0,0,150,30,0,30,30,0
Brisk® Mango Iced Tea (30 fl oz),170,0,0,0,0,95,45,0,45,45,0
Diet Dr Pepper® (30 fl oz),0,0,0,0,0,180,<1,0,0,0,0
Diet Pepsi® (30 fl oz),0,0,0,0,0,140,0,0,0,0,0
Dr Pepper® (30 fl oz),360,0,0,0,0,110,98,0,96,96,0
G2 - Fruit Punch (30 fl oz),80,0,0,0,0,410,19,0,17,17,0
Lipton Unsweetened Iced Tea (30 fl oz),0,0,0,0,0,270,0,0,0,0,0
Midnight Mtn Dew® Baja Blast™ (30 fl oz),420,0,0,0,0,125,111,0,111,111,0
Mtn Dew® (30 fl oz),420,0,0,0,0,130,110,0,110,110,0
Mtn Dew® Baja Blast™ (30 fl oz),420,0,0,0,0,120,111,0,111,111,0
Mtn Dew® Baja Blast Zero Sugar (30 fl oz),15,0,0,0,0,125,0,0,0,0,0
Mtn Dew® Zero Sugar (30 fl oz),5,0,0,0,0,115,<1,0,0,0,0
Mug® Root Beer (30 fl oz),360,0,0,0,0,140,96,0,95,95,0
Pepsi® (30 fl oz),380,0,0,0,0,80,103,0,103,103,0
Pepsi® Wild Cherry (30 fl oz),390,0,0,0,0,80,106,0,105,105,0
Pepsi® Zero Sugar (30 fl oz),0,0,0,0,0,160,<1,0,0,0,0
Starry® (30 fl oz),370,0,0,0,0,85,97,0,97,97,0
Tropicana Original Lemonade (30oz),120,0,0,0,0,400,31,0,30,30,0
